"cell_type","global_prop","transition_prop","fold_change","p_value","statistic","method"
"Cathepsin+ 2",0.0241267801437263,0.016806544117899,0.696592915332269,0.136581972514054,121,"Wilcoxon rank sum test with continuity correction"
"Intestine 7",0.0153479456594886,0.00940099045487403,0.61252435103991,0.18181016283048,131,"Wilcoxon rank sum test with continuity correction"
"Epidermal 4",0.0290580840376189,0.0242886639039828,0.835865980445868,0.241202603583113,142,"Wilcoxon rank sum test with continuity correction"
"Muscle 1",0.0354612988356826,0.0314908984761038,0.888035675794717,0.277578878997334,148,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 4",0.00657750164099286,0.00587539463712465,0.893256278418468,0.323142682129519,155,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 8",0.00234380909218915,0,0,0.343952377839674,172,"Wilcoxon rank sum test with continuity correction"
"Neural 10",4.88921718046728e-05,0,0,0.343952377839674,172,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 6",0.000200213010130366,0,0,0.437183530581446,178,"Wilcoxon rank sum test with continuity correction"
"Size.specific 3",0.000184446545085653,0,0,0.437183530581446,178,"Wilcoxon rank sum test with continuity correction"
"Parenchymal",0.00169292238359146,0.00159213209353048,0.940463726489837,0.533588151008293,184,"Wilcoxon rank sum test with continuity correction"
"Muscle 4",0.02581948648707,0.0220923851552443,0.855647735918675,0.555862732795434,187,"Wilcoxon rank sum test with continuity correction"
"Neural 5",0.00828478436353922,0.00798729086305373,0.964091581937275,0.592564358050645,192,"Wilcoxon rank sum test with continuity correction"
"Intestine 3",0.0236286980450756,0.0237304629279719,1.00430683411765,0.614222542309954,195,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 6",0.0082279887732948,0.00784906524789911,0.953947005053586,0.690190529824899,206,"Wilcoxon rank sum test with continuity correction"
"Epidermal 3",0.0292349401735143,0.0302471114544166,1.03462197202713,0.70327869486439,208,"Wilcoxon rank sum test with continuity correction"
"Neoblast 5",0.0168332791447219,0.0203811521994689,1.21076541440587,0.709726407538813,209,"Wilcoxon rank sum test with continuity correction"
"Neural 9",0.00252464802474491,0.00267616131900593,1.06001363072238,0.722461142012547,211,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 7",0.00500215917374169,0.000941872981700754,0.188293284756914,0.74709394817531,201.5,"Wilcoxon rank sum test with continuity correction"
"Epidermal 2",0.0283880042866502,0.0545596832377333,1.92192739886934,0.775964387789944,220,"Wilcoxon rank sum test with continuity correction"
"Epidermal 7",0.0258850035462994,0.0311604880070005,1.20380466439825,0.775964387789944,220,"Wilcoxon rank sum test with continuity correction"
"Intestine 1",0.0320141322325908,0.0319125033751793,0.996825500167453,0.787012444243197,222,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 1",0.0244088925733724,0.0291181842935424,1.19293344448192,0.81818983716952,228,"Wilcoxon rank sum test with continuity correction"
"Intestine 5",0.019598369708359,0.0302939123374275,1.54573634379939,0.855050216752376,236,"Wilcoxon rank sum test with continuity correction"
"Intestine 4",0.0245960364477973,0.0288562234354062,1.17320623982042,0.859276325516524,237,"Wilcoxon rank sum test with continuity correction"
"Neoblast 3",0.0198368213241834,0.0215211357225272,1.08490848260504,0.875339575979677,241,"Wilcoxon rank sum test with continuity correction"
"Neural 8",0.00276364980509991,0.00307293066692408,1.11191029386337,0.875339575979677,241,"Wilcoxon rank sum test with continuity correction"
"Neoblast 1",0.04641558515236,0.0579408219873975,1.24830532238699,0.903516897571121,249,"Wilcoxon rank sum test with continuity correction"
"Epidermal 6",0.0244272552104929,0.0364641220352409,1.49276378868705,0.909766367230862,251,"Wilcoxon rank sum test with continuity correction"
"Neoblast 4",0.0169915623624333,0.0204750842992452,1.20501481043989,0.918569380119878,254,"Wilcoxon rank sum test with continuity correction"
"Epidermal 8",0.0168489654564233,0.0333471529856885,1.97918104063628,0.934210342680622,260,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 3",0.0177732416523844,0.0305009325413433,1.71611533438254,0.97987251146077,289,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 1",0.0317268304164271,0.0452722801299507,1.42693989710709,0.97987251146077,289,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 4",0.0161551524648569,0.025325296072205,1.56762965421072,0.980767020778576,290,"Wilcoxon rank sum test with continuity correction"
"Size.specific 1",0.0277209610042893,0.00905563664045975,0.326671093367166,0.982358376581697,280,"Wilcoxon rank sum test with continuity correction"
"Neural 4",0.0165603399545762,0.0206572885957438,1.24739520157227,0.986131161803221,297,"Wilcoxon rank sum test with continuity correction"
"Epidermal 5",0.0180540994948403,0.0818826522416891,4.5354049513846,0.991958668829621,308,"Wilcoxon rank sum test with continuity correction"
"Size.specific 2",0.00181040329001672,0.00376853648547142,2.0816005506909,0.997964174809395,297,"Wilcoxon rank sum test with continuity correction"
"Testes",0.0126510837885874,0.0442252688794117,3.4957691861394,0.998612606365966,339,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 5",0.00367738834317209,0.00993483843170445,2.7016016543781,0.999095446205025,309,"Wilcoxon rank sum test with continuity correction"
